cod_mpio,nom_mpio,dpto,tasa_prom,tasa_pico,pm25,poblacion,indice_vulnerabilidad,nivel_vulnerabilidad
54810,TIBÚ,NORTE DE SANTANDER,67.07964483552085,469.34506248994256,30.71875,60007.0,9.49,Alto
52079,BARBACOAS,NARIÑO,102.60926454180296,398.22899403893246,14.687246610411117,57633.0,8.95,Alto
27025,ALTO BAUDÓ,CHOCÓ,132.53116644955122,486.0923575479341,14.687246610411117,40733.0,8.92,Alto
94001,INÍRIDA,GUAINÍA,153.10967774439263,551.3981882630957,14.687246610411117,35041.0,8.9,Alto
27077,BAJO BAUDÓ,CHOCÓ,210.86177603742115,633.5501233460417,14.687246610411117,32059.0,8.88,Alto
27001,QUIBDÓ,CHOCÓ,61.64371424661777,284.6650670381933,14.687246610411117,137257.0,8.88,Alto
52490,OLAYA HERRERA,NARIÑO,139.17536695239224,623.8207093072509,14.687246610411117,32759.0,8.86,Alto
52250,EL CHARCO,NARIÑO,91.9372371567867,349.986875492169,14.687246610411117,42525.0,8.83,Alto
66572,PUEBLO RICO,RISARALDA,78.92975224653335,203.94697378681545,21.15743801652893,16671.0,8.82,Alto
13873,VILLANUEVA,BOLÍVAR,47.339321932062376,310.3180760279286,16.05,25278.0,8.79,Alto
52621,ROBERTO PAYÁN,NARIÑO,159.96986708626198,603.8370404341512,14.687246610411117,25433.0,8.76,Alto
5250,EL BAGRE,ANTIOQUIA,32.02940145246722,100.87623870087228,20.35111111111111,54863.0,8.59,Alto
27787,TADÓ,CHOCÓ,136.88259903090426,474.7248161093432,14.687246610411117,19169.0,8.57,Alto
27450,MEDIO SAN JUAN,CHOCÓ,121.05742597108639,1146.1318051575931,14.687246610411117,17859.0,8.56,Alto
52427,MAGÜÍ,NARIÑO,70.58302757547612,244.91700034988145,14.687246610411117,25723.0,8.51,Alto
27150,CARMEN DEL DARIÉN,CHOCÓ,66.1809788999838,716.4606842199535,14.687246610411117,21107.0,8.49,Alto
5628,SABANALARGA,ANTIOQUIA,60.55405432943407,207.54486631668905,24.7,9409.0,8.48,Alto
13458,MONTECRISTO,BOLÍVAR,36.282610675355265,214.4266232095377,16.05,23318.0,8.46,Alto
13490,NOROSÍ,BOLÍVAR,58.50159137407178,332.0961125219769,16.05,10549.0,8.45,Alto
52233,CUMBITARA,NARIÑO,88.7326303589998,642.8218229767594,14.687246610411117,17071.0,8.45,Alto
27073,BAGADÓ,CHOCÓ,301.1054422711911,1773.274224192527,14.687246610411117,11272.0,8.41,Alto
27425,MEDIO ATRATO,CHOCÓ,43.76154353006231,253.0199151158995,14.687246610411117,33542.0,8.41,Alto
