cod_mpio,nom_mpio,enfermedad,fecha,casos_predichos,nivel_riesgo
5736,SEGOVIA,Malaria,2021-12-27,2.3183010845649514,Bajo
5756,SONSÓN,Dengue,2021-04-05,1.7934298173180512,Bajo
5790,TARAZÁ,Dengue,2021-12-20,1.4585312529919308,Bajo
5790,TARAZÁ,Malaria,2021-11-29,1.6018655181695038,Bajo
5792,TARSO,Dengue,2021-06-28,1.5275202062470923,Bajo
5819,TOLEDO,Dengue,2021-12-13,1.3080536287125226,Bajo
5837,TURBO,Dengue,2021-12-27,3.2293916312617297,Bajo
5837,TURBO,Malaria,2021-12-27,5.902555994003513,Bajo
5847,URRAO,Malaria,2021-12-27,3.7240438071207285,Bajo
5854,VALDIVIA,Dengue,2021-12-06,1.4378661808333684,Bajo
5854,VALDIVIA,Malaria,2021-09-27,1.1982961508123613,Bajo
5856,VALPARAÍSO,Dengue,2021-07-12,1.2184501214714363,Bajo
5858,VEGACHÍ,Dengue,2021-08-23,2.5299419055338426,Bajo
5873,VIGÍA DEL FUERTE,Dengue,2021-12-06,1.2612733106788072,Bajo
5873,VIGÍA DEL FUERTE,Malaria,2021-12-27,15.025918073160181,Medio
5890,YOLOMBÓ,Dengue,2021-12-20,1.36027274007394,Bajo
5893,YONDÓ,Dengue,2021-12-20,1.3274870832035806,Bajo
5893,YONDÓ,Malaria,2021-12-27,1.2795761175842775,Bajo
5895,ZARAGOZA,Dengue,2021-10-18,1.4840182491178764,Bajo
5895,ZARAGOZA,Malaria,2021-12-27,8.35374207079872,Medio
8001,BARRANQUILLA,Dengue,2021-12-27,231.55623822928698,Alto
8001,BARRANQUILLA,Malaria,2021-08-09,1.1542201001879233,Bajo
8078,BARANOA,Dengue,2021-12-27,4.789346059274174,Bajo
8137,CAMPO DE LA CRUZ,Dengue,2021-12-27,1.6486140972147756,Bajo
8141,CANDELARIA,Dengue,2021-12-27,1.6134881416819975,Bajo
8296,GALAPA,Dengue,2021-12-27,9.593900639143262,Medio
8372,JUAN DE ACOSTA,Dengue,2021-12-20,2.293326510506779,Bajo
8421,LURUACO,Dengue,2021-12-27,2.1292393990202982,Bajo
8433,MALAMBO,Dengue,2021-12-27,9.769677561383471,Medio
8436,MANATÍ,Dengue,2021-12-27,2.020884938401427,Bajo
8520,PALMAR DE VARELA,Dengue,2021-12-13,1.3001286234857923,Bajo
8549,PIOJÓ,Dengue,2021-11-29,1.4649015235570504,Bajo
8560,PONEDERA,Dengue,2021-12-27,1.4239391229965084,Bajo
8573,PUERTO COLOMBIA,Dengue,2021-12-27,9.866992587135332,Medio
8573,PUERTO COLOMBIA,Malaria,2021-10-04,1.2293707757961214,Bajo
8606,REPELÓN,Dengue,2021-12-20,1.3623327077937581,Bajo
8634,SABANAGRANDE,Dengue,2021-12-27,1.3122213577378874,Bajo
8675,SANTA LUCÍA,Dengue,2021-12-27,1.2876611355799659,Bajo
8685,SANTO TOMÁS,Dengue,2021-12-27,1.3846715466377555,Bajo
8758,SOLEDAD,Dengue,2021-12-27,95.32308834825133,Alto
8770,SUAN,Dengue,2021-12-20,1.2880806406174035,Bajo
8832,TUBARÁ,Dengue,2021-12-20,1.440223335886631,Bajo
8849,USIACURÍ,Dengue,2021-12-06,1.8988426454052671,Bajo
13001,CARTAGENA DE INDIAS,Dengue,2021-12-27,220.21785111738149,Alto
13001,CARTAGENA DE INDIAS,Malaria,2021-12-06,1.2271596617820095,Bajo
13006,ACHÍ,Dengue,2021-12-06,1.3712756684618408,Bajo
13006,ACHÍ,Malaria,2021-12-27,1.1489775522742542,Bajo
13030,ALTOS DEL ROSARIO,Dengue,2021-11-01,5.081334580294078,Bajo
13030,ALTOS DEL ROSARIO,Malaria,2021-12-20,1.2206882408026773,Bajo
13042,ARENAL,Dengue,2021-11-29,1.3906997928370948,Bajo
13042,ARENAL,Malaria,2021-12-27,2.0421083724039586,Bajo
13052,ARJONA,Dengue,2021-12-27,5.542573817905771,Bajo
13062,ARROYOHONDO,Dengue,2021-10-25,1.2146022237035825,Bajo
13074,BARRANCO DE LOBA,Dengue,2021-12-27,1.6410098305178225,Bajo
13074,BARRANCO DE LOBA,Malaria,2021-08-30,1.1342241978000933,Bajo
13140,CALAMAR,Dengue,2021-12-20,1.3094892283681467,Bajo
13140,CALAMAR,Malaria,2021-12-20,2.9163407025216252,Bajo
13160,CANTAGALLO,Dengue,2021-02-22,1.3190044789790853,Bajo
13160,CANTAGALLO,Malaria,2021-11-22,1.341549870162075,Bajo
13188,CICUCO,Dengue,2021-12-20,1.4182021194976637,Bajo
13212,CÓRDOBA,Dengue,2021-12-13,1.6602828190088506,Bajo
13212,CÓRDOBA,Malaria,2021-03-15,1.5241557193093995,Bajo
13222,CLEMENCIA,Dengue,2021-12-20,1.447863198272672,Bajo
13244,EL CARMEN DE BOLÍVAR,Dengue,2021-12-27,5.278856997752643,Bajo
13244,EL CARMEN DE BOLÍVAR,Malaria,2021-11-01,1.2594513314001854,Bajo
13248,EL GUAMO,Dengue,2021-12-27,1.3425080020835605,Bajo
13268,EL PEÑÓN,Dengue,2021-06-21,1.3859611544991748,Bajo
13300,HATILLO DE LOBA,Dengue,2021-12-13,1.2923513028196236,Bajo
13430,MAGANGUÉ,Dengue,2021-12-27,8.32559398109159,Medio
13430,MAGANGUÉ,Malaria,2021-11-08,1.2449097920277206,Bajo
13433,MAHATES,Dengue,2021-12-06,2.507601408160295,Bajo
13440,MARGARITA,Dengue,2021-11-08,1.987210644778548,Bajo
