cod_mpio,municipio,enfermedad,casos_predichos,indice_vulnerabilidad,vulnerabilidad,nivel_alerta,explicacion
5107,BRICEÑO,Dengue,1.6987034963930427,5.93,Medio,BAJO,Municipio en BAJO: se prevén 1.70 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (5.9/10).
5120,CÁCERES,Dengue,1.6481926468432508,3.82,Bajo,BAJO,Municipio en BAJO: se prevén 1.65 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.8/10).
5120,CÁCERES,Malaria,2.08111938977522,3.82,Bajo,BAJO,Municipio en BAJO: se prevén 2.08 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.8/10).
5129,CALDAS,Dengue,1.4409032495568308,4.03,Bajo,BAJO,Municipio en BAJO: se prevén 1.44 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.0/10).
5147,CAREPA,Dengue,1.846140890767301,3.42,Bajo,BAJO,Municipio en BAJO: se prevén 1.85 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.4/10).
5147,CAREPA,Malaria,2.8548488820237483,3.42,Bajo,BAJO,Municipio en BAJO: se prevén 2.85 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.4/10).
5154,CAUCASIA,Dengue,3.433027533890943,2.87,Bajo,ALTO,Municipio en ALTO: se prevén 3.43 casos de Dengue (predicción Alta) y la zona tiene vulnerabilidad baja (2.9/10).
5154,CAUCASIA,Malaria,1.4497207384289168,2.87,Bajo,BAJO,Municipio en BAJO: se prevén 1.45 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (2.9/10).
5172,CHIGORODÓ,Dengue,1.8711687927113347,3.85,Bajo,BAJO,Municipio en BAJO: se prevén 1.87 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.9/10).
5172,CHIGORODÓ,Malaria,1.8829428227492715,3.85,Bajo,BAJO,Municipio en BAJO: se prevén 1.88 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.9/10).
5190,CISNEROS,Dengue,1.3495125453482393,4.94,Medio,BAJO,Municipio en BAJO: se prevén 1.35 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (4.9/10).
5197,COCORNÁ,Dengue,1.343398888692639,4.15,Bajo,BAJO,Municipio en BAJO: se prevén 1.34 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.2/10).
5206,CONCEPCIÓN,Dengue,1.2557094928979669,5.49,Medio,BAJO,Municipio en BAJO: se prevén 1.26 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (5.5/10).
5209,CONCORDIA,Dengue,1.476484439371737,3.31,Bajo,BAJO,Municipio en BAJO: se prevén 1.48 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.3/10).
5212,COPACABANA,Dengue,1.5021402371668602,3.12,Bajo,BAJO,Municipio en BAJO: se prevén 1.50 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.1/10).
5234,DABEIBA,Dengue,1.4580216832851134,4.43,Bajo,BAJO,Municipio en BAJO: se prevén 1.46 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.4/10).
5234,DABEIBA,Malaria,2.2322321326701595,4.43,Bajo,BAJO,Municipio en BAJO: se prevén 2.23 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (4.4/10).
5250,EL BAGRE,Dengue,1.6354731687149,8.59,Alto,MEDIO,Municipio en MEDIO: se prevén 1.64 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (8.6/10).
5250,EL BAGRE,Malaria,10.041880475969776,8.59,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 10.04 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (8.6/10).
5266,ENVIGADO,Dengue,1.4764116533122116,2.53,Bajo,BAJO,Municipio en BAJO: se prevén 1.48 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (2.5/10).
5284,FRONTINO,Malaria,2.665774821001233,5.55,Medio,BAJO,Municipio en BAJO: se prevén 2.67 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (5.5/10).
5308,GIRARDOTA,Dengue,1.2020120056997765,2.56,Bajo,BAJO,Municipio en BAJO: se prevén 1.20 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (2.6/10).
5313,GRANADA,Dengue,1.603018498003954,7.35,Alto,MEDIO,Municipio en MEDIO: se prevén 1.60 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (7.3/10).
5313,GRANADA,Malaria,1.1710832722753262,7.35,Alto,MEDIO,Municipio en MEDIO: se prevén 1.17 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (7.3/10).
5315,GUADALUPE,Dengue,1.4977734210037994,6.83,Alto,MEDIO,Municipio en MEDIO: se prevén 1.50 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (6.8/10).
5360,ITAGÜÍ,Dengue,1.4413395532025972,4.03,Bajo,BAJO,Municipio en BAJO: se prevén 1.44 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.0/10).
5361,ITUANGO,Malaria,1.23825164655987,3.4,Bajo,BAJO,Municipio en BAJO: se prevén 1.24 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.4/10).
5364,JARDÍN,Dengue,1.21926472857893,3.01,Bajo,BAJO,Municipio en BAJO: se prevén 1.22 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.0/10).
5380,LA ESTRELLA,Dengue,1.3555723780945073,4.08,Bajo,BAJO,Municipio en BAJO: se prevén 1.36 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.1/10).
5390,LA PINTADA,Dengue,1.4127633104512285,4.52,Bajo,BAJO,Municipio en BAJO: se prevén 1.41 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.5/10).
5400,LA UNIÓN,Dengue,1.7727926568007937,4.4,Bajo,BAJO,Municipio en BAJO: se prevén 1.77 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.4/10).
5400,LA UNIÓN,Malaria,1.160945745902104,4.4,Bajo,BAJO,Municipio en BAJO: se prevén 1.16 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (4.4/10).
5411,LIBORINA,Dengue,1.3506478642735755,3.86,Bajo,BAJO,Municipio en BAJO: se prevén 1.35 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.9/10).
5425,MACEO,Dengue,1.7837526973337423,6.92,Alto,MEDIO,Municipio en MEDIO: se prevén 1.78 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (6.9/10).
5475,MURINDÓ,Malaria,6.619982936159621,7.14,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 6.62 casos de Malaria (predicción Media) y la zona tiene vulnerabilidad alta (7.1/10).
5480,MUTATÁ,Dengue,1.341130363308387,6.3,Alto,MEDIO,Municipio en MEDIO: se prevén 1.34 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (6.3/10).
5480,MUTATÁ,Malaria,3.30318946318181,6.3,Alto,MEDIO,Municipio en MEDIO: se prevén 3.30 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (6.3/10).
5483,NARIÑO,Dengue,1.3999951340706032,4.76,Medio,BAJO,Municipio en BAJO: se prevén 1.40 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad media (4.8/10).
5483,NARIÑO,Malaria,1.5391633014274655,4.76,Medio,BAJO,Municipio en BAJO: se prevén 1.54 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (4.8/10).
5490,NECOCLÍ,Dengue,2.467111415365153,3.93,Bajo,MEDIO,Municipio en MEDIO: se prevén 2.47 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad baja (3.9/10).
5490,NECOCLÍ,Malaria,1.8259944326728084,3.93,Bajo,BAJO,Municipio en BAJO: se prevén 1.83 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.9/10).
5495,NECHÍ,Dengue,2.031979433748884,5.35,Medio,ALTO,Municipio en ALTO: se prevén 2.03 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad media (5.3/10).
5495,NECHÍ,Malaria,2.78447419021576,5.35,Medio,BAJO,Municipio en BAJO: se prevén 2.78 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad media (5.3/10).
5579,PUERTO BERRÍO,Dengue,2.0585928613121425,3.45,Bajo,MEDIO,Municipio en MEDIO: se prevén 2.06 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad baja (3.5/10).
5579,PUERTO BERRÍO,Malaria,1.233744195216742,3.45,Bajo,BAJO,Municipio en BAJO: se prevén 1.23 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad baja (3.5/10).
5585,PUERTO NARE,Dengue,1.3304591009465376,3.54,Bajo,BAJO,Municipio en BAJO: se prevén 1.33 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (3.5/10).
5591,PUERTO TRIUNFO,Dengue,2.185051649487157,4.17,Bajo,MEDIO,Municipio en MEDIO: se prevén 2.19 casos de Dengue (predicción Media) y la zona tiene vulnerabilidad baja (4.2/10).
5604,REMEDIOS,Dengue,1.399240383542411,6.31,Alto,MEDIO,Municipio en MEDIO: se prevén 1.40 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad alta (6.3/10).
5604,REMEDIOS,Malaria,1.823778524094616,6.31,Alto,MEDIO,Municipio en MEDIO: se prevén 1.82 casos de Malaria (predicción Baja) y la zona tiene vulnerabilidad alta (6.3/10).
5615,RIONEGRO,Dengue,1.653195967328167,4.2,Bajo,BAJO,Municipio en BAJO: se prevén 1.65 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.2/10).
5628,SABANALARGA,Dengue,5.402801353591025,8.48,Alto,CRÍTICO,Municipio en CRÍTICO: se prevén 5.40 casos de Dengue (predicción Alta) y la zona tiene vulnerabilidad alta (8.5/10).
5631,SABANETA,Dengue,1.314651153548676,4.28,Bajo,BAJO,Municipio en BAJO: se prevén 1.31 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.3/10).
5642,SALGAR,Dengue,1.1921727630163534,2.89,Bajo,BAJO,Municipio en BAJO: se prevén 1.19 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (2.9/10).
5649,SAN CARLOS,Dengue,1.3588138397473657,4.01,Bajo,BAJO,Municipio en BAJO: se prevén 1.36 casos de Dengue (predicción Baja) y la zona tiene vulnerabilidad baja (4.0/10).
